word,frequency,rank
sayılı,340,9.0
olur,22,522.0
u,22,522.0
ile,490,7.0
uygun,106,69.0
görülmüştür,16,681.0
lgililer,19,584.0
duyurulur,23,503.0
nisan,870,3.0
sayı,864,4.0
resmî,896,2.0
gazet,899,1.0
sayfa,863,5.0
çevr,65,154.0
şehircilik,57,185.0
klim,57,185.0
değişikliği,57,185.0
bakanlığı,95,82.0
yapı,229,18.0
şleri,85,100.0
genel,269,14.0
müdürlüğünden,134,47.0
atahan,9,
yapı,229,18.0
denetim,187,24.0
ltd,90,90.0
şti,90,90.0
nin,59,177.0
denetim,187,24.0
sorumluluğunda,15,724.0
bulunan,88,93.0
adana,6,
ili,16,681.0
ceyhan,2,
ilçesi,7,
ada,68,143.0
parsel,51,206.0
üzerindeki,12,872.0
yi,70,136.0
bf,60,176.0
nolu,109,66.0
yapıyı,17,644.0
sayılı,340,9.0
yapı,229,18.0
denetimi,61,169.0
hakkında,50,212.0
kanunun,77,109.0
nci,10,
maddesinin,52,202.0
dördüncü,14,775.0
fıkrasının,13,811.0
c,141,41.0
g,51,206.0
bendi,13,811.0
ile,490,7.0
üncü,16,681.0
maddesi,107,68.0
yapı,229,18.0
denetimi,61,169.0
uygulama,74,118.0
yönetmeliği,43,263.0
nin,59,177.0
inci,94,83.0
maddesinin,52,202.0
dördüncü,14,775.0
fıkrasının,13,811.0
ç,43,263.0
j,12,872.0
l,36,316.0
bendi,13,811.0
yapı,229,18.0
denetimi,61,169.0
uygulama,74,118.0
yönetmeliği,43,263.0
nin,59,177.0
ıncı,7,
maddesinin,52,202.0
dördüncü,14,775.0
fıkrası,20,559.0
hükümlerin,19,584.0
göre,109,66.0
denetlemediği,49,222.0
anlaşılan,49,222.0
nolu,109,66.0
yapı,229,18.0
denetim,187,24.0
zin,10,
belgesin,45,250.0
atahan,9,
yapı,229,18.0
denetim,187,24.0
ltd,90,90.0
şti,90,90.0
ne,118,57.0
aynı,55,193.0
kanunun,77,109.0
inci,94,83.0
maddesi,107,68.0
gereğinc,59,177.0
bir,233,17.0
yıl,111,65.0
süre,42,272.0
ile,490,7.0
yeni,59,177.0
iş,138,42.0
almaktan,30,377.0
men,30,377.0
cezası,71,131.0
verilmesi,41,278.0
yeni,59,177.0
iş,138,42.0
almaktan,30,377.0
men,30,377.0
cezası,71,131.0
süresinin,10,
resmî,896,2.0
gazet,899,1.0
ilan,86,96.0
tarihinden,73,123.0
itibaren,58,181.0
başlatılması,6,
atahan,9,
yapı,229,18.0
denetim,187,24.0
ltd,90,90.0
şti,90,90.0
ne,118,57.0
yeni,59,177.0
iş,138,42.0
almaktan,30,377.0
men,30,377.0
cezası,71,131.0
verilmesin,45,250.0
sebep,41,278.0
olan,119,56.0
sorumlu,53,198.0
denetim,187,24.0
elemanları,9,
mehmet,7,
yaşar,4,
durğun,4,
un,8,
nşaat,61,169.0
mühendisi,61,169.0
uygulama,74,118.0
denetçisi,48,232.0
denetçi,52,202.0
oda,85,100.0
sicil,152,33.0
bakanlıkça,5,
kayıtlarının,11,946.0
tutulması,5,
atahan,9,
yapı,229,18.0
denetim,187,24.0
ltd,90,90.0
şti,90,90.0
nin,59,177.0
kuruluş,9,
ortağı,31,361.0
mehmet,7,
yaşar,4,
durğun,4,
nşaat,61,169.0
mühendisi,61,169.0
uygulama,74,118.0
denetçisi,48,232.0
denetçi,52,202.0
oda,85,100.0
sicil,152,33.0
hakkında,50,212.0
yeni,59,177.0
iş,138,42.0
almaktan,30,377.0
men,30,377.0
cezası,71,131.0
süresi,69,139.0
içerisind,104,74.0
herhangi,53,198.0
bir,233,17.0
yapı,229,18.0
denetim,187,24.0
veya,648,6.0
laboratuvar,33,338.0
kuruluşunda,14,775.0
teknik,39,294.0
bir,233,17.0
görev,21,537.0
almaması,13,811.0
başka,15,724.0
bir,233,17.0
yapı,229,18.0
denetim,187,24.0
veya,648,6.0
laboratuvar,33,338.0
kuruluşunun,13,811.0
ortağı,31,361.0
da,133,48.0
olmaması,12,872.0
bakanlık,9,
makamının,7,
tarih,162,31.0
sayılı,340,9.0
olur,22,522.0
u,22,522.0
ile,490,7.0
uygun,106,69.0
görülmüştür,16,681.0
lgililer,19,584.0
duyurulur,23,503.0
çevr,65,154.0
şehircilik,57,185.0
klim,57,185.0
değişikliği,57,185.0
bakanlığı,95,82.0
yapı,229,18.0
şleri,85,100.0
genel,269,14.0
müdürlüğünden,134,47.0
yalova,3,
li,75,114.0
çiftlikköi,1,
lçesi,25,466.0
g,51,206.0
co,1,
c,141,41.0
pafta,11,946.0
ada,68,143.0
parsel,51,206.0
üzerindeki,12,872.0
yi,70,136.0
bf,60,176.0
nolu,109,66.0
j,12,872.0
blok,31,361.0
inşaatın,8,
denetimini,5,
üstlenen,5,
nolu,109,66.0
yapı,229,18.0
denetim,187,24.0
zin,10,
belgesin,45,250.0
sahip,91,86.0
yalova,3,
taner,2,
yapı,229,18.0
denetim,187,24.0
ltd,90,90.0
şti,90,90.0
kuruluş,9,
ortağı,31,361.0
zeki,3,
çamurcu,2,
makin,19,584.0
mühendisi,61,169.0
proje,51,206.0
uygulama,74,118.0
denetçisi,48,232.0
denetçi,52,202.0
oda,85,100.0
sicil,152,33.0
tarafından,112,63.0
bakanlığımız,7,
aleyhin,8,
açılan,8,
davada,7,
ankara,106,69.0
dare,36,316.0
mahkemesinin,18,613.0
tarih,162,31.0
e,172,28.0
sayılı,340,9.0
kararı,47,234.0
ile,490,7.0
dava,14,775.0
konusu,87,94.0
işlemin,15,724.0
yeniden,7,
bir,233,17.0
karar,55,193.0
verilincey,3,
kadar,131,49.0
geçici,137,44.0
olarak,178,27.0
yürütülmesinin,7,
durdurulmasına,6,
hükmedilmiş,2,
idi,1,
bu,244,16.0
defa,14,775.0
ise,54,196.0
ankara,106,69.0
dare,36,316.0
mahkemesinin,18,613.0
tarih,162,31.0
e,172,28.0
k,62,164.0
sayılı,340,9.0
kararı,47,234.0
ile,490,7.0
davanın,1,
reddin,5,
hükmedildiğinden,7,
tarih,162,31.0
sayılı,340,9.0
resmî,896,2.0
gazet,899,1.0
ilanı,13,811.0
ile,490,7.0
uygulanan,4,
dava,14,775.0
konusu,87,94.0
işlemin,15,724.0
yürütülmesinin,7,
durdurulması,6,
işleminin,6,
iptal,21,537.0
edilerek,7,
yalova,3,
taner,2,
yapı,229,18.0
denetim,187,24.0
ltd,90,90.0
şti,90,90.0
hakkında,50,212.0
tesi,26,444.0
edilen,125,54.0
bir,233,17.0
yıl,111,65.0
süre,42,272.0
ile,490,7.0
yeni,59,177.0
iş,138,42.0
almaktan,30,377.0
men,30,377.0
cezası,71,131.0
işlemi,4,
ile,490,7.0
zeki,3,
çamurcu,2,
hakkında,50,212.0
tesi,26,444.0
edilen,125,54.0
yeni,59,177.0
iş,138,42.0
almaktan,30,377.0
men,30,377.0
cezası,71,131.0
süresi,69,139.0
içerisind,104,74.0
herhangi,53,198.0
bir,233,17.0
yapı,229,18.0
denetim,187,24.0
veya,648,6.0
laboratuvar,33,338.0
kuruluşunda,14,775.0
teknik,39,294.0
bir,233,17.0
görev,21,537.0
almaması,13,811.0
başka,15,724.0
bir,233,17.0
yapı,229,18.0
denetim,187,24.0
veya,648,6.0
laboratuvar,33,338.0
kuruluşunun,13,811.0
ortağı,31,361.0
da,133,48.0
olmaması,12,872.0
için,293,12.0
bakanlıkça,5,
kayıtlarının,11,946.0
tutulması,5,
işleminin,6,
yürütmenin,4,
durdurulması,6,
kararının,6,
uygulandığı,3,
andan,3,
itibaren,58,181.0
geriy,17,644.0
kalan,17,644.0
günlük,5,
kısmının,7,
uygulamaya,3,
konulması,4,
tarih,162,31.0
sayılı,340,9.0
makam,9,
olur,22,522.0
u,22,522.0
ile,490,7.0
uygun,106,69.0
görülmüştür,16,681.0
lgililer,19,584.0
duyurulur,23,503.0
sayfa,863,5.0
resmî,896,2.0
gazet,899,1.0
nisan,870,3.0
sayı,864,4.0
çevr,65,154.0
şehircilik,57,185.0
klim,57,185.0
değişikliği,57,185.0
bakanlığı,95,82.0
yapı,229,18.0
şleri,85,100.0
genel,269,14.0
müdürlüğünden,134,47.0
asıl,21,537.0
yapı,229,18.0
denetim,187,24.0
ltd,90,90.0
şti,90,90.0
nin,59,177.0
denetim,187,24.0
sorumluluğunda,15,724.0
bulunan,88,93.0
tekirdağ,1,
ili,16,681.0
çorlu,1,
ilçesi,7,
ada,68,143.0
parsel,51,206.0
üzerindeki,12,872.0
yi,70,136.0
bf,60,176.0
nolu,109,66.0
yapıyı,17,644.0
sayılı,340,9.0
yapı,229,18.0
denetimi,61,169.0
hakkında,50,212.0
kanunun,77,109.0
inci,94,83.0
maddesinin,52,202.0
dördüncü,14,775.0
fıkrasının,13,811.0
c,141,41.0
g,51,206.0
bentleri,3,
ile,490,7.0
yapı,229,18.0
denetimi,61,169.0
uygulama,74,118.0
yönetmeliği,43,263.0
nin,59,177.0
inci,94,83.0
maddesinin,52,202.0
dördüncü,14,775.0
fıkrasının,13,811.0
l,36,316.0
bendi,13,811.0
hükümlerin,19,584.0
göre,109,66.0
denetlemediği,49,222.0
anlaşılan,49,222.0
nolu,109,66.0
yapı,229,18.0
denetim,187,24.0
zin,10,
belgesin,45,250.0
sahip,91,86.0
asıl,21,537.0
yapı,229,18.0
denetim,187,24.0
ltd,90,90.0
şti,90,90.0
ne,118,57.0
aynı,55,193.0
kanunun,77,109.0
inci,94,83.0
maddesi,107,68.0
gereğinc,59,177.0
bir,233,17.0
yıl,111,65.0
süre,42,272.0
ile,490,7.0
yeni,59,177.0
iş,138,42.0
almaktan,30,377.0
men,30,377.0
cezası,71,131.0
verilmesi,41,278.0
yeni,59,177.0
iş,138,42.0
almaktan,30,377.0
men,30,377.0
cezası,71,131.0
süresinin,10,
resmî,896,2.0
gazet,899,1.0
ilan,86,96.0
tarihinden,73,123.0
itibaren,58,181.0
başlatılması,6,
bakanlık,9,
makamının,7,
tarih,162,31.0
sayılı,340,9.0
olur,22,522.0
u,22,522.0
ile,490,7.0
uygun,106,69.0
görülmüştür,16,681.0
lgililer,19,584.0
duyurulur,23,503.0
çevr,65,154.0
şehircilik,57,185.0
klim,57,185.0
değişikliği,57,185.0
bakanlığı,95,82.0
yapı,229,18.0
şleri,85,100.0
genel,269,14.0
müdürlüğünden,134,47.0
kahraman,4,
yapı,229,18.0
denetim,187,24.0
ltd,90,90.0
şti,90,90.0
nin,59,177.0
denetim,187,24.0
sorumluluğunda,15,724.0
bulunan,88,93.0
kahramanmaraş,6,
ili,16,681.0
onikişubat,1,
lçesi,25,466.0
ada,68,143.0
parsel,51,206.0
üzerindeki,12,872.0
yi,70,136.0
bf,60,176.0
nolu,109,66.0
yapıyı,17,644.0
sayılı,340,9.0
yapı,229,18.0
denetimi,61,169.0
hakkında,50,212.0
kanunun,77,109.0
nci,10,
maddesinin,52,202.0
dördüncü,14,775.0
fıkrasının,13,811.0
c,141,41.0
g,51,206.0
bentleri,3,
inci,94,83.0
maddesinin,52,202.0
birinci,7,
fıkrasının,13,811.0
g,51,206.0
bendi,13,811.0
ile,490,7.0
yapı,229,18.0
denetimi,61,169.0
uygulama,74,118.0
yönetmeliğinin,13,811.0
inci,94,83.0
maddesinin,52,202.0
dördüncü,14,775.0
fıkrasının,13,811.0
l,36,316.0
bendind,9,
öngörülen,1,
esaslara,17,644.0
göre,109,66.0
denetlemediği,49,222.0
anlaşılan,49,222.0
nolu,109,66.0
yapı,229,18.0
denetim,187,24.0
zin,10,
belgesin,45,250.0
sahip,91,86.0
kahraman,4,
yapı,229,18.0
denetim,187,24.0
ltd,90,90.0
şti,90,90.0
ne,118,57.0
aynı,55,193.0
kanun,45,250.0
un,8,
inci,94,83.0
maddesi,107,68.0
gereğinc,59,177.0
bir,233,17.0
yıl,111,65.0
süre,42,272.0
ile,490,7.0
yeni,59,177.0
iş,138,42.0
almaktan,30,377.0
men,30,377.0
cezası,71,131.0
verilmesi,41,278.0
yeni,59,177.0
iş,138,42.0
almaktan,30,377.0
men,30,377.0
cezası,71,131.0
süresinin,10,
resmî,896,2.0
gazet,899,1.0
ilan,86,96.0
tarihinden,73,123.0
itibaren,58,181.0
başlatılması,6,
kahraman,4,
yapı,229,18.0
denetim,187,24.0
ltd,90,90.0
şti,90,90.0
ne,118,57.0
yeni,59,177.0
iş,138,42.0
almaktan,30,377.0
men,30,377.0
cezası,71,131.0
verilmesin,45,250.0
sebep,41,278.0
olan,119,56.0
sorumlu,53,198.0
denetim,187,24.0
elemanları,9,
haci,2,
şi,67,146.0
mşek,1,
nşaat,61,169.0
mühendisi,61,169.0
proje,51,206.0
uygulama,74,118.0
denetçisi,48,232.0
denetçi,52,202.0
oda,85,100.0
sicil,152,33.0
okan,1,
kilin,1,
nşaat,61,169.0
mühendisi,61,169.0
uygulama,74,118.0
denetçisi,48,232.0
denetçi,52,202.0
oda,85,100.0
sicil,152,33.0
hacı,8,
bilal,5,
çolak,2,
ın,5,
nşaat,61,169.0
mühendisi,61,169.0
yardımcı,25,466.0
kontrol,35,327.0
elemanı,75,114.0
oda,85,100.0
sicil,152,33.0
bakanlıkça,5,
kayıtlarının,11,946.0
tutulması,5,
kahraman,4,
yapı,229,18.0
denetim,187,24.0
ltd,90,90.0
şti,90,90.0
nin,59,177.0
kuruluş,9,
ortakları,16,681.0
hacı,8,
bilal,5,
çolak,2,
nşaat,61,169.0
mühendisi,61,169.0
yardımcı,25,466.0
kontrol,35,327.0
elemanı,75,114.0
oda,85,100.0
sicil,152,33.0
cebrail,1,
yüceler,1,
nşaat,61,169.0
mühendisi,61,169.0
yardımcı,25,466.0
kontrol,35,327.0
elemanı,75,114.0
oda,85,100.0
sicil,152,33.0
yeni,59,177.0
iş,138,42.0
almaktan,30,377.0
men,30,377.0
cezası,71,131.0
süresi,69,139.0
içerisind,104,74.0
herhangi,53,198.0
bir,233,17.0
yapı,229,18.0
denetim,187,24.0
veya,648,6.0
laboratuvar,33,338.0
kuruluşunda,14,775.0
teknik,39,294.0
bir,233,17.0
görev,21,537.0
almaması,13,811.0
başka,15,724.0
bir,233,17.0
yapı,229,18.0
denetim,187,24.0
veya,648,6.0
laboratuvar,33,338.0
kuruluşunun,13,811.0
ortağı,31,361.0
da,133,48.0
olmaması,12,872.0
bakanlık,9,
makamının,7,
tarih,162,31.0
sayılı,340,9.0
olur,22,522.0
u,22,522.0
ile,490,7.0
uygun,106,69.0
görülmüştür,16,681.0
lgililer,19,584.0
duyurulur,23,503.0
çevr,65,154.0
şehircilik,57,185.0
klim,57,185.0
değişikliği,57,185.0
bakanlığı,95,82.0
yapı,229,18.0
şleri,85,100.0
genel,269,14.0
müdürlüğünden,134,47.0
stanbul,66,151.0
li,75,114.0
başakşehir,1,
lçesi,25,466.0
f,52,202.0
c,141,41.0
c,141,41.0
pafta,11,946.0
ada,68,143.0
parsel,51,206.0
üzerindeki,12,872.0
yi,70,136.0
bf,60,176.0
nolu,109,66.0
inşaatın,8,
denetimini,5,
üstlenen,5,
nolu,109,66.0
yapı,229,18.0
denetim,187,24.0
zin,10,
belgesin,45,250.0
sahip,91,86.0
uzman,3,
yapı,229,18.0
denetim,187,24.0
ş,181,26.0
kuruluş,9,
ortağı,31,361.0
faruk,3,
korça,2,
nşaat,61,169.0
mühendisi,61,169.0
proje,51,206.0
uygulama,74,118.0
denetçisi,48,232.0
denetçi,52,202.0
oda,85,100.0
sicil,152,33.0
tarafından,112,63.0
bakanlığımız,7,
aleyhin,8,
açılan,8,
davada,7,
ankara,106,69.0
dare,36,316.0
mahkemesinin,18,613.0
tarih,162,31.0
e,172,28.0
sayılı,340,9.0
kararı,47,234.0
ile,490,7.0
yeni,59,177.0
bir,233,17.0
karar,55,193.0
verilincey,3,
kadar,131,49.0
dava,14,775.0
konusu,87,94.0
işlemin,15,724.0
yürütülmesinin,7,
durdurulmasına,6,
hükmedilmesinden,1,
sonra,50,212.0
tarih,162,31.0
e,172,28.0
sayılı,340,9.0
kararı,47,234.0
ile,490,7.0
yürütmenin,4,
durdurulması,6,
isteminin,1,
reddin,5,
hükmedildiğinden,7,
tarih,162,31.0
sayılı,340,9.0
resmî,896,2.0
gazet,899,1.0
ilanı,13,811.0
ile,490,7.0
uygulanan,4,
dava,14,775.0
nisan,870,3.0
sayı,864,4.0
resmî,896,2.0
gazet,899,1.0
sayfa,863,5.0
konusu,87,94.0
işlemin,15,724.0
yürütülmesinin,7,
durdurulması,6,
işleminin,6,
iptal,21,537.0
edilerek,7,
uzman,3,
yapı,229,18.0
denetim,187,24.0
ş,181,26.0
hakkında,50,212.0
tesi,26,444.0
edilen,125,54.0
bir,233,17.0
yıl,111,65.0
süre,42,272.0
ile,490,7.0
yeni,59,177.0
iş,138,42.0
almaktan,30,377.0
men,30,377.0
cezası,71,131.0
işlemi,4,
ile,490,7.0
faruk,3,
korça,2,
hakkında,50,212.0
tesi,26,444.0
edilen,125,54.0
yeni,59,177.0
iş,138,42.0
almaktan,30,377.0
men,30,377.0
cezası,71,131.0
süresi,69,139.0
içerisind,104,74.0
herhangi,53,198.0
bir,233,17.0
yapı,229,18.0
denetim,187,24.0
veya,648,6.0
laboratuvar,33,338.0
kuruluşunda,14,775.0
teknik,39,294.0
bir,233,17.0
görev,21,537.0
almaması,13,811.0
başka,15,724.0
bir,233,17.0
yapı,229,18.0
denetim,187,24.0
veya,648,6.0
laboratuvar,33,338.0
kuruluşunun,13,811.0
ortağı,31,361.0
da,133,48.0
olmaması,12,872.0
için,293,12.0
bakanlıkça,5,
kayıtlarının,11,946.0
tutulması,5,
işleminin,6,
yürütmenin,4,
durdurulması,6,
kararının,6,
uygulandığı,3,
andan,3,
itibaren,58,181.0
geriy,17,644.0
kalan,17,644.0
günlük,5,
kısmının,7,
uygulamaya,3,
konulması,4,
tarih,162,31.0
sayılı,340,9.0
makam,9,
olur,22,522.0
u,22,522.0
ile,490,7.0
uygun,106,69.0
görülmüştür,16,681.0
lgililer,19,584.0
duyurulur,23,503.0
çevr,65,154.0
şehircilik,57,185.0
klim,57,185.0
değişikliği,57,185.0
bakanlığı,95,82.0
yapı,229,18.0
şleri,85,100.0
genel,269,14.0
müdürlüğünden,134,47.0
yapı,229,18.0
denetim,187,24.0
uygulama,74,118.0
yönetmeliğinin,13,811.0
ncı,6,
maddesinin,52,202.0
birinci,7,
fıkrası,20,559.0
gereği,25,466.0
çekirdek,1,
personel,30,377.0
eksikliğini,1,
takvim,21,537.0
günü,72,127.0
içerisind,104,74.0
tamamlamayan,1,
stanbul,66,151.0
ilind,2,
faaliyet,3,
gösteren,50,212.0
belg,138,42.0
lu,18,613.0
ufuk,1,
tekni,1,
k,62,164.0
yapı,229,18.0
denetim,187,24.0
ltd,90,90.0
şti,90,90.0
nin,59,177.0
yapı,229,18.0
denetim,187,24.0
izin,13,811.0
belgesi,149,35.0
bakanlık,9,
makamının,7,
tarih,162,31.0
sayılı,340,9.0
olur,22,522.0
u,22,522.0
ile,490,7.0
geçici,137,44.0
olarak,178,27.0
geri,8,
alınmıştır,2,
lgililer,19,584.0
duyurulur,23,503.0
ataşehir,4,
adıgüzel,3,
meslek,46,244.0
yüksekokulu,23,503.0
müdürlüğünden,134,47.0
meslek,46,244.0
yüksekokulumuzun,1,
aşağıda,76,111.0
belirtilen,210,20.0
programlarına,1,
tarih,162,31.0
sayılı,340,9.0
resmî,896,2.0
gazet,899,1.0
de,57,185.0
yayımlanarak,1,
yürürlüğe,2,
giren,2,
öğretim,94,83.0
üyesi,57,185.0
dışındaki,11,946.0
öğretim,94,83.0
elemanları,9,
kadrolarına,30,377.0
yapılacak,94,83.0
atamalarda,9,
uygulanacak,24,485.0
merkezi,33,338.0
sınav,131,49.0
ile,490,7.0
giriş,23,503.0
sınavlarına,7,
lişkin,27,423.0
usul,12,872.0
esaslar,11,946.0
hakkında,50,212.0
yönetmeliğin,7,
ilgili,128,52.0
maddeleri,14,775.0
uyarınca,78,108.0
öğretim,94,83.0
görevlisi,21,537.0
alınacaktır,47,234.0
adayların,61,169.0
sayılı,340,9.0
kanunun,77,109.0
inci,94,83.0
maddesind,36,316.0
belirtilen,210,20.0
şartları,24,485.0
taşıması,16,681.0
gerekmektedir,84,103.0
lan,67,146.0
edilen,125,54.0
kadrolara,11,946.0
müracaat,19,584.0
edecek,14,775.0
adayların,61,169.0
aşağıda,76,111.0
belirtilen,210,20.0
belgelerl,12,872.0
birlikt,30,377.0
ataşehir,4,
adıgüzel,3,
meslek,46,244.0
yüksekokulu,23,503.0
müdürlüğüne,21,537.0
şahsen,26,444.0
posta,86,96.0
ile,490,7.0
müracaat,19,584.0
etmeleri,21,537.0
gerekmektedir,84,103.0
internet,40,285.0
üzerinden,76,111.0
yapılan,59,177.0
başvurular,48,232.0
kabul,91,86.0
edilmeyecektir,16,681.0
postadaki,23,503.0
gecikmel,29,398.0
ilanda,9,
belirtilen,210,20.0
süreler,9,
içind,58,181.0
yapılmayan,11,946.0
başvurular,48,232.0
eksik,15,724.0
belg,138,42.0
başvurular,48,232.0
dikkat,32,351.0
alınmayacaktır,34,331.0
posta,86,96.0
ile,490,7.0
yapılacak,94,83.0
başvuruların,8,
son,113,61.0
başvuru,158,32.0
tarihin,15,724.0
kadar,131,49.0
meslek,46,244.0
yüksekokul,5,
müdürlüğüne,21,537.0
ulaşması,7,
gerekmektedir,84,103.0
postadaki,23,503.0
gecikmelerden,6,
meslek,46,244.0
yüksekokulumuz,2,
sorumlu,53,198.0
değildir,22,522.0
onaylı,62,164.0
istenen,22,522.0
belgelerin,53,198.0
noterden,12,872.0
veya,648,6.0
resmi,24,485.0
kurumlarca,6,
aslı,73,123.0
gibidir,2,
yapılarak,10,
onaylanması,2,
gerekmektedir,84,103.0
öğretim,94,83.0
görevlisi,21,537.0
çin,30,377.0
gerek,20,559.0
belgel,116,58.0
başvurdukları,4,
programı,12,872.0
belirten,20,559.0
ıslak,6,
imzalı,7,
dilekç,9,
www,57,185.0
adiguzel,3,
edu,14,775.0
tr,121,55.0
adresind,50,212.0
mevcut,12,872.0
özgeçmiş,12,872.0
yök,16,681.0
formatında,6,
nüfus,47,234.0
cüzdan,16,681.0
fotokopisi,28,409.0
bir,233,17.0
adet,114,60.0
vesikalık,10,
fotoğraf,15,724.0
son,113,61.0
altı,13,811.0
ay,64,158.0
içind,58,181.0
çekilmiş,9,
onaylı,62,164.0
lisan,143,39.0
yüksek,86,96.0
lisan,143,39.0
mezuniyet,23,503.0
belgesi,149,35.0
diplomanın,1,
aslı,73,123.0
veya,648,6.0
ıslak,6,
imzalı,7,
mühürlü,3,
sureti,27,423.0
yâda,2,
e,172,28.0
devlet,105,73.0
üzerinden,76,111.0
alınan,32,351.0
mezuniyet,23,503.0
belgesi,149,35.0
sayfa,863,5.0
resmî,896,2.0
gazet,899,1.0
nisan,870,3.0
sayı,864,4.0
lisan,143,39.0
yüksek,86,96.0
lisan,143,39.0
transkriptlerinin,1,
aslı,73,123.0
yâda,2,
ıslak,6,
imzalı,7,
mühürlü,3,
sureti,27,423.0
geçer,15,724.0
ale,26,444.0
puanına,1,
sahip,91,86.0
sınav,131,49.0
sonuç,21,537.0
belgesi,149,35.0
ale,26,444.0
muafiyeti,2,
için,293,12.0
görev,21,537.0
yapılan,59,177.0
yükseköğretim,41,278.0
kurumundan,9,
alınacak,31,361.0
hizmet,74,118.0
belgesi,149,35.0
atama,26,444.0
olur,22,522.0
yazısı,3,
erkek,37,307.0
adaylar,69,139.0
için,293,12.0
askerlik,29,398.0
durumunu,5,
gösterir,54,196.0
belg,138,42.0
terhi,2,
tecil,2,
muaf,2,
ad,19,584.0
sicil,152,33.0
belgesi,149,35.0
lisan,143,39.0
lisansüstü,3,
öğrenimlerini,1,
yurt,31,361.0
dışında,30,377.0
tamamlayan,1,
adaylar,69,139.0
için,293,12.0
yükseköğretim,41,278.0
kurulunca,1,
onaylanmış,21,537.0
denklik,16,681.0
belgesinin,37,307.0
aslı,73,123.0
veya,648,6.0
ıslak,6,
imzalı,7,
mühürlü,3,
sureti,27,423.0
resmî,896,2.0
gazet,899,1.0
de,57,185.0
yayım,6,
tarihi,97,79.0
son,113,61.0
başvuru,158,32.0
tarihi,97,79.0
ön,19,584.0
değerlendirm,38,301.0
tarihi,97,79.0
giriş,23,503.0
sınavı,12,872.0
tarihi,97,79.0
sonuç,21,537.0
açıklama,10,
tarihi,97,79.0
sonuçların,2,
açıklanacağı,3,
nternet,10,
adresi,86,96.0
www,57,185.0
adiguzel,3,
edu,14,775.0
tr,121,55.0
başvuru,158,32.0
adresi,86,96.0
ataşehir,4,
adıgüzel,3,
meslek,46,244.0
yüksekokulu,23,503.0
yenişehir,3,
mahallesi,83,104.0
barajyolu,1,
caddesi,39,294.0
çağlayan,1,
sokak,30,377.0
ataşehir,4,
stanbul,66,151.0
açıklama,10,
ön,19,584.0
değerlendirm,38,301.0
kesin,10,
sonuçlar,4,
meslek,46,244.0
yüksekokulumuz,2,
web,22,522.0
adresind,50,212.0
www,57,185.0
adiguzel,3,
edu,14,775.0
tr,121,55.0
yayınlanacak,2,
olup,87,94.0
bu,244,16.0
aynı,55,193.0
zamanda,3,
tebligat,33,338.0
niteliğind,3,
olacaktır,13,811.0
ayrıca,20,559.0
tebligat,33,338.0
yapılmayacaktır,4,
kadro,71,131.0
program,14,775.0
yds,20,559.0
dengi,12,872.0
ünvan,8,
özel,63,160.0
şartlar,31,361.0
sayisi,15,724.0
yabancı,63,160.0
dil,27,423.0
öğretim,94,83.0
gıda,2,
mühendisliği,65,154.0
gastronomi,4,
mutfak,3,
sanatları,3,
lisan,143,39.0
aşçılık,1,
şartı,12,872.0
aranmaz,6,
görevlisi,21,537.0
mezunu,44,253.0
olmak,279,13.0
alanında,44,253.0
tezli,32,351.0
yüksek,86,96.0
lisan,143,39.0
yapmış,42,272.0
olmak,279,13.0
bankacılık,2,
yabancı,63,160.0
dil,27,423.0
öğretim,94,83.0
ktisat,9,
ekonomi,6,
finan,10,
bankacılık,2,
sigortacılık,2,
lisan,143,39.0
bölümü,39,294.0
sigortacılık,2,
şartı,12,872.0
aranmaz,6,
görevlisi,21,537.0
mezunu,44,253.0
olmak,279,13.0
alanında,44,253.0
tezli,32,351.0
yüksek,86,96.0
lisan,143,39.0
yapmış,42,272.0
olmak,279,13.0
çocuk,16,681.0
gelişimi,13,811.0
çocuk,16,681.0
gelişimi,13,811.0
eğitimi,12,872.0
okul,18,613.0
öncesi,7,
yabancı,63,160.0
dil,27,423.0
öğretim,94,83.0
çocuk,16,681.0
gelişimi,13,811.0
öğretmenliği,12,872.0
lisan,143,39.0
bölümlerinin,15,724.0
herhangi,53,198.0
birinden,30,377.0
mezun,41,278.0
olmak,279,13.0
şartı,12,872.0
aranmaz,6,
görevlisi,21,537.0
alanı,24,485.0
ile,490,7.0
ilgili,128,52.0
tezli,32,351.0
yüksek,86,96.0
lisan,143,39.0
yapmış,42,272.0
olmak,279,13.0
hemşirelik,2,
veya,648,6.0
hemşirelik,2,
sağlık,30,377.0
hizmetleri,17,644.0
bölümlerinin,15,724.0
birinden,30,377.0
lisan,143,39.0
mezunu,44,253.0
olmak,279,13.0
alanında,44,253.0
tezli,32,351.0
yüksek,86,96.0
lisan,143,39.0
yapmış,42,272.0
olmak,279,13.0
ya,68,143.0
acil,6,
yardım,4,
afet,3,
yönetimi,17,644.0
lisan,143,39.0
mezunu,44,253.0
lk,19,584.0
acil,6,
yabancı,63,160.0
dil,27,423.0
öğretim,94,83.0
olup,87,94.0
herhangi,53,198.0
bir,233,17.0
alanda,5,
tezli,32,351.0
yüksek,86,96.0
lisan,143,39.0
yapmış,42,272.0
olmak,279,13.0
yardım,4,
şartı,12,872.0
aranmaz,6,
görevlisi,21,537.0
belgelendirmek,4,
kaydıyla,47,234.0
